[2025-06-02 22:13:57] Задержка перед запуском: 1 сек
[2025-06-02 22:13:58] Приём по UART запущен
[2025-06-02 22:24:18] Пакет ID 1748936536 сохранён
[2025-06-02 22:24:21] Пакет ID 1748936539 сохранён
[2025-06-02 22:24:24] Пакет ID 1748936542 сохранён
[2025-06-02 22:24:27] Пакет ID 1748936545 сохранён
[2025-06-02 22:24:30] Пакет ID 1748936548 сохранён
[2025-06-02 22:24:33] Пакет ID 1748936551 сохранён
[2025-06-02 22:24:36] Пакет ID 1748936554 сохранён
[2025-06-02 22:24:39] Пакет ID 1748936557 сохранён
[2025-06-02 22:24:42] Пакет ID 1748936560 сохранён
[2025-06-02 22:24:45] Пакет ID 1748936563 сохранён
[2025-06-02 22:24:48] Пакет ID 1748936566 сохранён
[2025-06-02 22:24:51] Пакет ID 1748936569 сохранён
[2025-06-02 22:24:54] Пакет ID 1748936572 сохранён
[2025-06-02 22:24:57] Пакет ID 1748936575 сохранён
[2025-06-02 22:25:00] CRC не совпадает — пакет отброшен
[2025-06-02 22:25:03] Пакет ID 1748936581 сохранён
[2025-06-02 22:25:06] Пакет ID 1748936584 сохранён
[2025-06-02 22:25:09] Пакет ID 1748936587 сохранён
[2025-06-02 22:25:12] Пакет ID 1748936590 сохранён
[2025-06-02 22:25:15] Пакет ID 1748936593 сохранён
[2025-06-02 22:25:18] Пакет ID 1748936596 сохранён
[2025-06-02 22:25:21] Пакет ID 1748936599 сохранён
[2025-06-02 22:25:24] Пакет ID 1748936602 сохранён
[2025-06-02 22:25:27] Пакет ID 1748936605 сохранён
[2025-06-02 22:25:30] Пакет ID 1748936608 сохранён
[2025-06-02 22:25:33] Пакет ID 1748936611 сохранён
[2025-06-02 22:25:36] Пакет ID 1748936614 сохранён
[2025-06-02 22:25:39] Пакет ID 1748936617 сохранён
[2025-06-02 22:25:42] Пакет ID 1748936620 сохранён
[2025-06-02 22:25:45] Пакет ID 1748936623 сохранён
[2025-06-02 22:25:48] Пакет ID 1748936626 сохранён
[2025-06-02 22:25:51] Пакет ID 1748936629 сохранён
[2025-06-02 22:25:54] Пакет ID 1748936632 сохранён
[2025-06-02 22:25:57] Пакет ID 1748936635 сохранён
[2025-06-02 22:26:00] Пакет ID 1748936638 сохранён
[2025-06-02 22:26:03] Пакет ID 1748936641 сохранён
[2025-06-02 22:26:06] Пакет ID 1748936644 сохранён
[2025-06-02 22:26:09] Пакет ID 1748936647 сохранён
[2025-06-02 22:26:12] Пакет ID 1748936650 сохранён
[2025-06-02 22:26:15] Пакет ID 1748936653 сохранён
[2025-06-02 22:26:18] Пакет ID 1748936656 сохранён
[2025-06-02 22:26:21] Пакет ID 1748936659 сохранён
[2025-06-02 22:26:24] Пакет ID 1748936662 сохранён
[2025-06-02 22:26:27] Пакет ID 1748936665 сохранён
[2025-06-02 22:26:30] Пакет ID 1748936668 сохранён
[2025-06-02 22:26:33] Пакет ID 1748936671 сохранён
[2025-06-02 22:26:36] Пакет ID 1748936674 сохранён
[2025-06-02 22:26:39] Пакет ID 1748936677 сохранён
[2025-06-02 22:26:42] Пакет ID 1748936680 сохранён
[2025-06-02 22:28:59] Приём завершён
