[2025-06-25 07:52:24] Задержка перед запуском: 1 сек
[2025-06-25 07:52:25] Приём по UART запущен
[2025-06-25 09:45:49] Пакет ID 1750826748 сохранён
[2025-06-25 09:46:19] Пакет ID 1750826778 сохранён
[2025-06-25 09:46:49] Пакет ID 1750826808 сохранён
[2025-06-25 09:47:19] Пакет ID 1750826839 сохранён
[2025-06-25 09:47:49] Пакет ID 1750826869 сохранён
[2025-06-25 09:48:19] Пакет ID 1750826899 сохранён
[2025-06-25 09:48:49] Пакет ID 1750826929 сохранён
[2025-06-25 09:49:19] Пакет ID 1750826959 сохранён
[2025-06-25 09:49:49] Пакет ID 1750826989 сохранён
[2025-06-25 09:50:19] Пакет ID 1750827019 сохранён
[2025-06-25 09:50:49] Пакет ID 1750827049 сохранён
[2025-06-25 09:51:19] Пакет ID 1750827079 сохранён
[2025-06-25 09:51:49] Пакет ID 1750827109 сохранён
[2025-06-25 09:52:19] Пакет ID 1750827139 сохранён
[2025-06-25 09:52:49] Пакет ID 1750827169 сохранён
[2025-06-25 09:53:19] Пакет ID 1750827199 сохранён
[2025-06-25 09:53:49] Пакет ID 1750827229 сохранён
[2025-06-25 09:54:19] Пакет ID 1750827259 сохранён
[2025-06-25 09:54:49] Пакет ID 1750827289 сохранён
[2025-06-25 09:55:19] Пакет ID 1750827319 сохранён
[2025-06-25 09:55:49] Пакет ID 1750827349 сохранён
[2025-06-25 09:56:19] Пакет ID 1750827379 сохранён
[2025-06-25 09:56:49] Пакет ID 1750827409 сохранён
[2025-06-25 09:57:19] Пакет ID 1750827439 сохранён
[2025-06-25 09:57:49] Пакет ID 1750827469 сохранён
[2025-06-25 09:58:19] Пакет ID 1750827499 сохранён
[2025-06-25 09:58:49] Пакет ID 1750827529 сохранён
[2025-06-25 09:59:19] Пакет ID 1750827559 сохранён
[2025-06-25 09:59:49] Пакет ID 1750827589 сохранён
[2025-06-25 10:00:19] Пакет ID 1750827619 сохранён
[2025-06-25 10:00:49] Пакет ID 1750827649 сохранён
[2025-06-25 10:01:19] Пакет ID 1750827679 сохранён
[2025-06-25 10:01:49] Пакет ID 1750827709 сохранён
[2025-06-25 10:02:19] Пакет ID 1750827739 сохранён
[2025-06-25 10:02:49] Пакет ID 1750827769 сохранён
[2025-06-25 10:03:19] Пакет ID 1750827799 сохранён
[2025-06-25 10:03:49] Пакет ID 1750827829 сохранён
[2025-06-25 10:04:19] Пакет ID 1750827859 сохранён
[2025-06-25 10:04:49] Пакет ID 1750827889 сохранён
[2025-06-25 10:05:19] Пакет ID 1750827919 сохранён
[2025-06-25 10:05:49] Пакет ID 1750827949 сохранён
[2025-06-25 10:06:19] Пакет ID 1750827979 сохранён
[2025-06-25 10:06:49] Пакет ID 1750828009 сохранён
[2025-06-25 10:07:19] Пакет ID 1750828039 сохранён
[2025-06-25 10:07:49] Пакет ID 1750828069 сохранён
[2025-06-25 10:08:19] Пакет ID 1750828099 сохранён
[2025-06-25 10:08:49] Пакет ID 1750828129 сохранён
[2025-06-25 10:09:19] Пакет ID 1750828159 сохранён
[2025-06-25 10:09:49] Пакет ID 1750828189 сохранён
[2025-06-25 10:10:19] Пакет ID 1750828219 сохранён
[2025-06-25 10:10:49] Пакет ID 1750828249 сохранён
[2025-06-25 10:11:19] Пакет ID 1750828279 сохранён
[2025-06-25 10:11:49] Пакет ID 1750828309 сохранён
[2025-06-25 10:12:19] Пакет ID 1750828339 сохранён
[2025-06-25 10:12:49] Пакет ID 1750828369 сохранён
[2025-06-25 10:13:19] Пакет ID 1750828399 сохранён
[2025-06-25 10:13:50] Пакет ID 1750828429 сохранён
[2025-06-25 10:14:20] Пакет ID 1750828459 сохранён
[2025-06-25 10:14:50] Пакет ID 1750828489 сохранён
[2025-06-25 10:15:20] Пакет ID 1750828519 сохранён
[2025-06-25 10:15:50] Пакет ID 1750828549 сохранён
[2025-06-25 10:16:20] Пакет ID 1750828579 сохранён
[2025-06-25 10:16:50] Пакет ID 1750828609 сохранён
[2025-06-25 10:17:20] Пакет ID 1750828639 сохранён
[2025-06-25 10:17:50] Пакет ID 1750828669 сохранён
[2025-06-25 10:18:20] Пакет ID 1750828699 сохранён
[2025-06-25 10:18:50] Пакет ID 1750828729 сохранён
[2025-06-25 10:19:20] Пакет ID 1750828759 сохранён
